Acronym,Meaning,Source,Definition
CH,Critical Habitat,Endangered Species Act sec. 3(5) (16 USC 1532(5)),"When applied for a threatened or endangered species: the specific areas within the geographical area occupied by the species, at the time it is listed, on which are found those physical or biological features essential to the conservation of the species and which may require special management considerations or protection; and specific areas outside the geographical area occupied by the species at the time it is listed, upon a determination by the Secretary that such areas are essential for the conservation of the species."
EFH,Essential Fish Habitat,"Magnuson-Stevens Act, sec. 3(10) (16 USC 1802(10))","Those waters and substrate necessary to fish for spawning, breeding, feeding or growth to maturity."
EFH-HAPC,Essential Fish Habitat- Habitat Area of Particular Concern,NOAA Fisheries; 50 CFR 600.815(a)(8),"A subset of Essential Fish Habitat (EFH) that is designated as high priority for conservation and management based on: the importance of the ecological functions it provides; its sensitivity to human-induced environmental degradation; whether, and to what extent, development activities are stressing the habitat; and the rarity of the habitat type."
EBFM,Ecosystem-Based Fisheries Management,NOAA Fisheries; https://www.fisheries.noaa.gov/insight/understanding-ecosystem-based-fisheries-management,"A systematic approach to fisheries management in a geographically specified area that contributes to: the resilience and sustainability of the ecosystem; recognizes the physical, biological, economic, and social interactions among the affected fishery-related components of the ecosystem, including humans; and seeks to optimize benefits among a diverse set of societal goals."
EIS,Environmental Impact Statement,"42 U.S.C. 4332(2)(C) and  42 US.C. 4336(b)(1); NOAA NEPA Procedures at 12 (June 30, 2025); NMFS, Revised MSA-NEPA Procedures, PD 09-103 at 5-6 (revised June 30, 2025); CEQ, A Citizen’s Guide to NEPA at 12 (Jan. 2021); NMFS, Operational Guidelines, PD 01-101-03, App. 2 at 25 (revised Oct. 25, 2017)","A detailed statement required by NEPA for any major Federal action significantly affecting the quality of the human environment, which addresses the reasonably foreseeable environmental effects of a proposed action and reasonable alternatives to that action."
FEP,Fishery Ecosystem Plan,"NMFS, Ecosystem-Based Fisheries Management Policy, PD 01-120 (May 23, 2016) (https://www.fisheries.noaa.gov/s3//2024-02/Revised-EBFM-Policy-FINAL-2.12.24-508-signed-JC.pdf); NOAA Fisheries (https://www.fisheries.noaa.gov/topic/ecosystems/fishery-ecosystem-plans)","A strategic planning document that describes and integrates ecosystem goals, objectives, and priorities for fisheries and ecosystem research, conservation, and management across multiple fisheries within an ecosystem."
FIS,Fishery Impact Statement,NOAA Fisheries; 16 USC 1853(a)(9) (MSA 303(a)(9)),"A required provision of a fishery management plan, which assesses, specifies, and analyzes the likely effects, if any, of the conservation and management measures on, and possible mitigation measures for: fishery participants, fishery participants in adjacent areas, and the safety of human life at sea."
NS,National Standard,16 USC 1851 (MSA 301); 50 CFR 600.305(a)(3); https://www.fisheries.noaa.gov/national/laws-policies/national-standard-guidelines  ,The Magnuson-Stevens Act requires that a fishery management plan and its implementing regulations meet ten national standards for fishery conservation and management. These national standards are principles that must be followed in any fishery management plan to ensure sustainable and responsible fishery management.
IFA,International Fishery Agreement,16 USC 1802(24) (MSA sec. 2(24)),"Any bilateral or multilateral treaty, convention, or agreement which relates to fishing and to which the United States is a party."
RFMO,Regional fishery management organization,https://www.fisheries.noaa.gov/international-affairs/international-and-regional-fisheries-management-organizations,Treaty-based body whose objective is to ensure the sustainable conservation and management of shared fish stocks and other living marine resources through international cooperation.
SMZ,Special Management Zone,50 CFR 622.182(a); 50 CFR 648.148; https://safmc.net/managed-areas/special-management-zones/,"A designated area to protect fish populations, increase biological production, and/or create fishing opportunities that would not otherwise exist, through gear restrictions or other fishing restrictions. SMZs may be designated around artificial reefs or fish attraction devices, or around spawning sites (specifically referred to as ""Spawning SMZs"")."
DQA,Data Quality Act,"NOAA Fisheries, Policy on the Data Quality Act, PD 04-108 (June 27, 2012; renewed July 2014); https://media.fisheries.noaa.gov/dam-migration/04-108.pdf","The Data Quality Act (also referred to as the Information Quality Act), requires federal agencies like NOAA Fisheries to ensure the quality, objectivity, utility, and integrity of the information they disseminate."
